puntuacionIMDB,ranking,sinopsis,guionistas,generos,director,anyoEstreno,enlace,titulo,duracion
9.2,2,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,"Mario Puzo,Francis Ford Coppola,Paramount Pictures,Alfran Productions"," Crime, Drama",Francis Ford Coppola,(1972),http://imdb.com/title/tt0068646/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=0MGJ4YQRZMK1B619PM1N&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_2,The Godfather,2h 55min
puntuacionIMDB,ranking,sinopsis,guionistas,generos,director,anyoEstreno,enlace,titulo,duracion
9.2,1,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","Stephen King,Frank Darabont,Castle Rock Entertainment"," Crime, Drama",Frank Darabont,(1994),http://imdb.com/title/tt0111161/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=128HCK3A15FECSBMK2AB&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_1,The Shawshank Redemption,2h 22min
8.7,13,"After the rebels are overpowered by the Empire on their newly established base, Luke Skywalker begins Jedi training with Yoda. His friends accept shelter from a questionable ally as Darth Vader hunts them in a plan to capture Luke.","Leigh Brackett,Lawrence Kasdan,Lucasfilm"," Action, Adventure, Fantasy, Sci-Fi",Irvin Kershner,(1980),http://imdb.com/title/tt0080684/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=128HCK3A15FECSBMK2AB&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_13,Star Wars: Episode V - The Empire Strikes Back,2h 4min
8.7,12,"JFK, LBJ, Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75.","Winston Groom,Eric Roth,Paramount Pictures"," Drama, Romance",Robert Zemeckis,(1994),http://imdb.com/title/tt0109830/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=128HCK3A15FECSBMK2AB&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_12,Forrest Gump,2h 22min
8.8,11,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle Earth from the Dark Lord Sauron.,"J.R.R. Tolkien,Fran Walsh,New Line Cinema,WingNut Films,The Saul Zaentz Company"," Adventure, Drama, Fantasy",Peter Jackson,(2001),http://imdb.com/title/tt0120737/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=128HCK3A15FECSBMK2AB&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_11,The Lord of the Rings: The Fellowship of the Ring,2h 58min
8.8,10,"An insomniac office worker, looking for a way to change his life, crosses paths with a devil-may-care soap maker, forming an underground fight club that evolves into something much, much more.","Chuck Palahniuk,Jim Uhls,Fox 2000 Pictures,Regency Enterprises,Linson Films", Drama,David Fincher,(1999),http://imdb.com/title/tt0137523/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=128HCK3A15FECSBMK2AB&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_10,Fight Club,2h 19min
8.8,9,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"Luciano Vincenzoni,Sergio Leone,Produzioni Europee Associate (PEA),Arturo González Producciones Cinematográficas,Constantin Film", Western,Sergio Leone,(1966),http://imdb.com/title/tt0060196/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=128HCK3A15FECSBMK2AB&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_9,"The Good, the Bad and the Ugly",2h 58min
8.9,8,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"J.R.R. Tolkien,Fran Walsh,New Line Cinema,WingNut Films,The Saul Zaentz Company"," Adventure, Drama, Fantasy",Peter Jackson,(2003),http://imdb.com/title/tt0167260/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=128HCK3A15FECSBMK2AB&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_8,The Lord of the Rings: The Return of the King,3h 21min
8.9,7,"The lives of two mob hit men, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Quentin Tarantino,Roger Avary,Miramax,A Band Apart,Jersey Films"," Crime, Drama",Quentin Tarantino,(1994),http://imdb.com/title/tt0110912/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3376940102&pf_rd_r=128HCK3A15FECSBMK2AB&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_7,Pulp Fiction,2h 34min
